"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a[1]",-0.685668344238744,0.00641617508333089,0.200317182505529,-1.04864227442774,-0.815224273608363,-0.701728578826203,-0.561669351041832,-0.246070094602044,974.729238381608,1.00158469771935
"a[2]",-1.30442130456041,0.0215051469066463,0.544735599499197,-2.37601996256146,-1.66159327012687,-1.30912846646041,-0.942885665791096,-0.233973040762096,641.632995314153,1.00574434476828
"a[3]",-1.16477927750391,0.0247530776123512,0.723680749644671,-2.6044788531517,-1.63314775521925,-1.15116682478987,-0.685138523360184,0.242069978416707,854.743158762297,1.00671849038344
"a[4]",0.115454433005843,0.020808506078941,0.72683730738602,-1.2843104909866,-0.39367801240537,0.127214815537705,0.619739394369618,1.52566789902943,1220.0921089565,1.0019802840669
"a[5]",0.116384826534464,0.0217016912895102,0.768891838623637,-1.43621898913874,-0.404217924882758,0.0983629660728502,0.641894159130723,1.63330143371971,1255.28789168121,1.00215735895096
"a[6]",-0.835709262517645,0.0247133568089527,0.809714963056509,-2.39538408564227,-1.39862851132201,-0.842380761890816,-0.283033104489019,0.776842496220989,1073.49703852749,1.00526990801039
"a[7]",-1.32707937523471,0.022409786213162,0.825123923069421,-2.92643082613847,-1.87551318421861,-1.32725545435187,-0.791364168345287,0.2560386275392,1355.6979239419,1.00267267399658
"a[8]",-0.669165239027431,0.025274950842158,0.842619544080031,-2.25800419487531,-1.24894355826182,-0.668326987697383,-0.0876411731333974,1.01180164411051,1111.43077250449,1.00164813839354
"a[9]",0.415545067719438,0.021018268503608,0.770273672786071,-1.05675340073599,-0.119292443110177,0.396987799174384,0.953471753299971,1.89335646849948,1343.06254320533,1.00136369040899
"a[10]",1.07123458824974,0.0231564530942623,0.812305713198408,-0.492420006674322,0.504903817901777,1.08008246977866,1.63477093233962,2.73449801590661,1230.53774103853,1.00002807250043
"a[11]",0.866949065871125,0.0227930236204373,0.866763787302983,-0.844736491323907,0.287056751726432,0.861076443923624,1.44491637529576,2.59112698567127,1446.0977019943,1.00186817580407
"a[12]",0.336134413949775,0.0246339125383095,0.869907362288343,-1.31515845468058,-0.280219620018048,0.32637775469999,0.911225381756849,2.06878487761367,1247.03666469339,0.999264048794523
"a[13]",-0.091604563006234,0.0221269825152621,0.87326010207652,-1.76011015632795,-0.716080407448858,-0.0858340968140866,0.532034775176829,1.53094250242483,1557.5530635801,0.999477762737533
"a[14]",-0.277817166095434,0.0216521045643187,0.876035374806957,-2.00819642778437,-0.86165425287901,-0.29499100946115,0.301564490884069,1.43236612392071,1636.97880228894,0.9981865928959
"a[15]",-0.25372689363895,0.0182011141133514,0.853473463450914,-1.84121157061997,-0.854075224964861,-0.271705626644852,0.327544551241617,1.423303074523,2198.7917548826,0.998522856191399
"a[16]",-0.147677983301051,0.0225715447198266,0.965272514316186,-2.05806384677739,-0.772706618043208,-0.163228424265132,0.501430834321774,1.79157695635723,1828.84675728383,0.99888485955669
"a[17]",-0.08515222310954,0.0221875943717131,1.0132958188674,-2.08476307948947,-0.806150220507462,-0.112415087603978,0.614936719600684,1.9149803127925,2085.70108014868,0.999415103174744
"a[18]",0.0069572665777019,0.0215154717264981,0.965536896360572,-1.93364770833682,-0.640818822256503,-0.00562749314405958,0.655918459964904,1.9184699333076,2013.89119759028,0.999440658190805
"a[19]",0.0322823760636564,0.0232868395180952,0.995252312588479,-1.91775120484828,-0.65205546326035,0.0290143348046333,0.69643661498772,2.01946893106632,1826.60772627028,1.00466628737862
"a[20]",-0.0132419851889553,0.0226690540245713,0.984038093671559,-1.94249946761476,-0.660167541908255,-0.018785502649151,0.622583219819303,1.96966527492697,1884.3302799809,0.999405141784417
"a[21]",0.018105768282035,0.0220930560650943,1.01058059126568,-1.96182397427391,-0.66853837533521,0.0221548884437399,0.68608248948971,1.93129190323512,2092.33064986519,0.998945515808847
"f[1]",-2.05700503272766,0.0192485252500996,0.600951547519926,-3.1459268233007,-2.44567282083867,-2.1051857364903,-1.68500805313486,-0.738210283810233,974.729238381605,1.00158469771935
"f[2]",-2.99922993621964,0.0107753701202461,0.481994859721724,-3.97260922341819,-3.29704068394998,-2.96457229109954,-2.6893633913504,-2.09407115538503,2000.87713003602,0.999203626972941
"f[3]",-4.0061603893719,0.0125835276276145,0.534802238463523,-5.05792520635028,-4.35140711169168,-3.99407254289698,-3.65127109968004,-2.94599467098068,1806.26563274414,1.00024930918375
"f[4]",-4.84364524973028,0.0134470745143805,0.560220162276722,-5.94121033950345,-5.20083701910329,-4.85819327055545,-4.49840318113456,-3.71682911640114,1735.64877890012,0.999878101287426
"f[5]",-5.29109487264792,0.0116342827527684,0.529402751390519,-6.33419833880916,-5.6122776589473,-5.28452826390119,-4.98596595059657,-4.19491692484246,2070.58545658715,0.999188190085351
"f[6]",-5.25580092246711,0.0102381644485941,0.479662154788536,-6.22016000115677,-5.5560991089885,-5.24773701535086,-4.96248561529788,-4.3264611487906,2194.96048449728,0.998805963248982
"f[7]",-4.83961713074359,0.00971092222497463,0.447522025507989,-5.74531067091927,-5.13907286196656,-4.80246780019923,-4.53623542172875,-3.98767174170763,2123.77193592042,0.99859106784805
"f[8]",-4.30323943170098,0.0097056417018568,0.44113881281852,-5.21853338318012,-4.60365217688142,-4.27584561706702,-4.00062404668244,-3.46602385885204,2065.8654424594,0.998627284839879
"f[9]",-3.93033312482191,0.0095440087869927,0.439380788171518,-4.82300072748573,-4.21105722134629,-3.89665775034835,-3.64121756790108,-3.08017538976074,2119.43677732648,0.999137878281016
"f[10]",-3.86144470618445,0.00908390621875064,0.424123750358919,-4.73516960457524,-4.12113073866285,-3.84695313452175,-3.59111205612516,-3.02024445753562,2179.91671863182,1.00017363020714
"f[11]",-3.99854752759117,0.00872980434108343,0.402718177059895,-4.78399695876453,-4.24840605637735,-4.00308956326908,-3.76830591952934,-3.12346294841155,2128.10692286755,1.00146383372832
"f[12]",-4.04749753695957,0.00871401068379086,0.392958666047401,-4.71725724693255,-4.30946944785311,-4.08631466210035,-3.83790707214782,-3.16128873702372,2033.5626916114,1.00202357048042
"f[13]",-3.68340153179194,0.00888170644711167,0.393930131516767,-4.31878586848904,-3.96199694251523,-3.72751706942795,-3.46244655397549,-2.79759389911434,1967.1866661133,1.00124314024036
"f[14]",-2.74512940164565,0.00857605749444144,0.392506769783633,-3.40487192079356,-3.0193067082162,-2.78007795391175,-2.52417193596478,-1.88495679437653,2094.68602634047,0.999864429030887
"f[15]",-1.34369860677797,0.00833288283656018,0.385297877801377,-2.09998030388052,-1.5835291552095,-1.35297373144619,-1.1234128582193,-0.533840881258397,2137.97529677597,0.998939471888318
